STATE,CONSTITUENCY,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,TOTAL VOTES,TOTAL ELECTORS,ASSETS,LIABILITIES
West Bengal,BANKURA,0,8,"Hammer, Sickle and Star",1,1,67.0,1,4,100282,1648906,7521446,0
West Bengal,BANKURA,0,18,Cot,1,5,40.0,3,1,14942,1648906,290750,0
Uttar Pradesh,BANSGAON,1,1,Lotus,1,5,42.0,2,4,546673,1751258,171706883,6049264
Uttar Pradesh,BANSGAON,0,4,Elephant,1,0,62.0,2,2,393205,1751258,8702160,0
Rajasthan,BANSWARA,1,1,Lotus,1,0,62.0,3,8,711709,1975368,58711904,1746729
Rajasthan,BANSWARA,0,3,Hand,1,0,65.0,3,2,406245,1975368,34354639,6449772
Rajasthan,BANSWARA,0,47,Auto- Rickshaw,1,0,43.0,3,2,250761,1975368,1229683,0
Rajasthan,BANSWARA,0,4,Elephant,1,0,31.0,3,7,26172,1975368,311000,0
Rajasthan,BANSWARA,0,18,Air Conditioner,1,0,26.0,3,8,14822,1975368,30811,0
Andhra Pradesh,BAPATLA,1,13,Ceiling Fan,1,0,42.0,2,7,598257,1468671,4158610,269000
Andhra Pradesh,BAPATLA,0,14,Bicycle,1,0,65.0,2,2,582192,1468671,42520353,598794
Andhra Pradesh,BAPATLA,0,4,Elephant,1,0,64.0,2,2,42580,1468671,34436000,1200000
Andhra Pradesh,BAPATLA,0,3,Hand,1,0,65.0,2,2,13155,1468671,126397634,8342498
Uttar Pradesh,BARABANKI,1,1,Lotus,1,1,51.0,2,2,535917,1816830,18050127,3171774
Uttar Pradesh,BARABANKI,0,12,Bicycle,1,5,68.0,2,6,425777,1816830,10294367,127553
Uttar Pradesh,BARABANKI,0,3,Hand,1,0,34.0,2,8,159611,1816830,12572577,27052
Maharashtra,BARAMATI,1,5,Clock,2,0,49.0,1,4,686714,2114663,1408888704,5500000
Maharashtra,BARAMATI,0,1,Lotus,2,0,34.0,1,4,530940,2114663,47572790,2250279
Maharashtra,BARAMATI,0,6,Cup & Saucer,1,1,43.0,1,2,44134,2114663,4980257,3700190
Jammu & Kashmir,BARAMULLA,1,22,Plough,1,0,71.0,1,8,133426,1317738,597434000,104935
Jammu & Kashmir,BARAMULLA,0,24,Apple,1,0,67.0,1,8,103193,1317738,176868487,848606
Jammu & Kashmir,BARAMULLA,0,18,Gas Cylinder,1,0,54.0,1,5,102168,1317738,8000000,6000000
Jammu & Kashmir,BARAMULLA,0,23,Ink Pot & Pen,1,0,59.0,1,8,53530,1317738,16556983,473600
Jammu & Kashmir,BARAMULLA,0,3,Hand,1,0,55.0,1,7,34532,1317738,12777435,0
Jammu & Kashmir,BARAMULLA,0,1,Lotus,1,0,65.0,1,4,7894,1317738,11320000,0
